x,u,t
-1.998997996,0.018595413,0
-1.998997996,0.02078463,0.1
-1.998997996,0.023221423,0.2
-1.998997996,0.025931627,0.3
-1.998997996,0.028943289,0.4
-1.998997996,0.032286744,0.5
-1.998997996,0.035994667,0.6
-1.998997996,0.040102092,0.7
-1.998997996,0.044646381,0.8
-1.998997996,0.049667148,0.9
-1.998997996,0.055206109,1
-1.998997996,0.061306858,1.1
-1.998997996,0.068014554,1.2
-1.998997996,0.0753755,1.3
-1.998997996,0.083436614,1.4
-1.998997996,0.092244774,1.5
-1.998997996,0.101846037,1.6
-1.998997996,0.112284723,1.7
-1.998997996,0.123602387,1.8
-1.998997996,0.135836665,1.9
-1.998997996,0.149020038,2
-1.998997996,0.163178535,2.1
-1.998997996,0.178330407,2.2
-1.998997996,0.194484838,2.3
-1.998997996,0.211640735,2.4
-1.998997996,0.229785657,2.5
-1.998997996,0.248894966,2.6
-1.998997996,0.268931231,2.7
-1.998997996,0.289843967,2.8
-1.998997996,0.311569732,2.9
-1.998997996,0.334032623,3
-1.998997996,0.357145164,3.1
-1.998997996,0.380809586,3.2
-1.998997996,0.404919451,3.3
-1.998997996,0.429361576,3.4
-1.998997996,0.454018164,3.5
-1.998997996,0.478769083,3.6
-1.998997996,0.503494174,3.7
-1.998997996,0.528075517,3.8
-1.998997996,0.55239955,3.9
-1.998997996,0.576358988,4
-1.998997996,0.599854461,4.1
-1.998997996,0.622795842,4.2
-1.998997996,0.645103238,4.3
-1.998997996,0.666707641,4.4
-1.998997996,0.687551249,4.5
-1.998997996,0.707587482,4.6
-1.998997996,0.726780727,4.7
-1.998997996,0.745105859,4.8
-1.998997996,0.762547577,4.9
-1.998997996,0.779099601,5
-1.998997996,0.794763783,5.1
-1.998997996,0.809549159,5.2
-1.998997996,0.823470984,5.3
-1.998997996,0.836549784,5.4
-1.998997996,0.848810436,5.5
-1.998997996,0.860281306,5.6
-1.998997996,0.870993453,5.7
-1.998997996,0.880979908,5.8
-1.998997996,0.890275024,5.9
-1.998997996,0.898913918,6
-1.998997996,0.906931978,6.1
-1.998997996,0.914364451,6.2
-1.998997996,0.921246102,6.3
-1.998997996,0.927610928,6.4
-1.998997996,0.933491936,6.5
-1.998997996,0.938920971,6.6
-1.998997996,0.943928587,6.7
-1.998997996,0.948543954,6.8
-1.998997996,0.952794805,6.9
-1.998997996,0.956707403,7
-1.998997996,0.960306531,7.1
-1.998997996,0.963615512,7.2
-1.998997996,0.966656228,7.3
-1.998997996,0.969449158,7.4
-1.998997996,0.972013432,7.5
-1.998997996,0.974366878,7.6
-1.998997996,0.976526082,7.7
-1.998997996,0.978506452,7.8
-1.998997996,0.980322275,7.9
-1.998997996,0.981986789,8
-1.998997996,0.983512237,8.1
-1.998997996,0.984909934,8.2
-1.998997996,0.986190327,8.3
-1.998997996,0.98736305,8.4
-1.998997996,0.988436983,8.5
-1.998997996,0.989420302,8.6
-1.998997996,0.990320534,8.7
-1.998997996,0.991144599,8.8
-1.998997996,0.991898859,8.9
-1.998997996,0.99258916,9
-1.998997996,0.993220869,9.1
-1.998997996,0.993798914,9.2
-1.998997996,0.994327815,9.3
-1.998997996,0.994811719,9.4
-1.998997996,0.99525443,9.5
-1.998997996,0.995659434,9.6
-1.998997996,0.996029925,9.7
-1.998997996,0.996368831,9.8
-1.998997996,0.996678835,9.9
1.998997996,0.018595413,0
1.998997996,0.02078463,0.1
1.998997996,0.023221423,0.2
1.998997996,0.025931627,0.3
1.998997996,0.028943289,0.4
1.998997996,0.032286744,0.5
1.998997996,0.035994667,0.6
1.998997996,0.040102092,0.7
1.998997996,0.044646381,0.8
1.998997996,0.049667148,0.9
1.998997996,0.055206109,1
1.998997996,0.061306858,1.1
1.998997996,0.068014554,1.2
1.998997996,0.0753755,1.3
1.998997996,0.083436614,1.4
1.998997996,0.092244774,1.5
1.998997996,0.101846037,1.6
1.998997996,0.112284723,1.7
1.998997996,0.123602387,1.8
1.998997996,0.135836665,1.9
1.998997996,0.149020038,2
1.998997996,0.163178535,2.1
1.998997996,0.178330407,2.2
1.998997996,0.194484838,2.3
1.998997996,0.211640735,2.4
1.998997996,0.229785657,2.5
1.998997996,0.248894966,2.6
1.998997996,0.268931231,2.7
1.998997996,0.289843967,2.8
1.998997996,0.311569732,2.9
1.998997996,0.334032623,3
1.998997996,0.357145164,3.1
1.998997996,0.380809586,3.2
1.998997996,0.404919451,3.3
1.998997996,0.429361576,3.4
1.998997996,0.454018164,3.5
1.998997996,0.478769083,3.6
1.998997996,0.503494174,3.7
1.998997996,0.528075517,3.8
1.998997996,0.55239955,3.9
1.998997996,0.576358988,4
1.998997996,0.599854461,4.1
1.998997996,0.622795842,4.2
1.998997996,0.645103238,4.3
1.998997996,0.666707641,4.4
1.998997996,0.687551249,4.5
1.998997996,0.707587482,4.6
1.998997996,0.726780727,4.7
1.998997996,0.745105859,4.8
1.998997996,0.762547577,4.9
1.998997996,0.779099601,5
1.998997996,0.794763783,5.1
1.998997996,0.809549159,5.2
1.998997996,0.823470984,5.3
1.998997996,0.836549784,5.4
1.998997996,0.848810436,5.5
1.998997996,0.860281306,5.6
1.998997996,0.870993453,5.7
1.998997996,0.880979908,5.8
1.998997996,0.890275024,5.9
1.998997996,0.898913918,6
1.998997996,0.906931978,6.1
1.998997996,0.914364451,6.2
1.998997996,0.921246102,6.3
1.998997996,0.927610928,6.4
1.998997996,0.933491936,6.5
1.998997996,0.938920971,6.6
1.998997996,0.943928587,6.7
1.998997996,0.948543954,6.8
1.998997996,0.952794805,6.9
1.998997996,0.956707403,7
1.998997996,0.960306531,7.1
1.998997996,0.963615512,7.2
1.998997996,0.966656228,7.3
1.998997996,0.969449158,7.4
1.998997996,0.972013432,7.5
1.998997996,0.974366878,7.6
1.998997996,0.976526082,7.7
1.998997996,0.978506452,7.8
1.998997996,0.980322275,7.9
1.998997996,0.981986789,8
1.998997996,0.983512237,8.1
1.998997996,0.984909934,8.2
1.998997996,0.986190327,8.3
1.998997996,0.98736305,8.4
1.998997996,0.988436983,8.5
1.998997996,0.989420302,8.6
1.998997996,0.990320534,8.7
1.998997996,0.991144599,8.8
1.998997996,0.991898859,8.9
1.998997996,0.99258916,9
1.998997996,0.993220869,9.1
1.998997996,0.993798914,9.2
1.998997996,0.994327815,9.3
1.998997996,0.994811719,9.4
1.998997996,0.99525443,9.5
1.998997996,0.995659434,9.6
1.998997996,0.996029925,9.7
1.998997996,0.996368831,9.8
1.998997996,0.996678835,9.9
